Component,References,MFGR,MPN,Value,Tolerance,Desc,Footprint,Stock,Stock Date,Quantity Per PCB,Unit Cost
1,C63 C136 C320 C358 C489 C527 C658 C696 C827 C865 C996 C1034 C1165 C1203 C1334 C1372,KYOCERA AVX,08055A6R0CAT2A,6 pF,+/- 0.25 pF,CAP CER 6PF 50V C0G/NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,27025,09/18/2023,16,0.15
2,C69 C142 C326 C364 C495 C533 C664 C702 C833 C871 C1002 C1040 C1171 C1209 C1340 C1378,KYOCERA AVX,08055A100BAT2A,10 pF,+/-0.1 pF,CAP CER 10PF 50V NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,5953,09/18/2023,16,0.20
3,C65 C68 C138 C141 C322 C325 C360 C363 C491 C494 C529 C532 C660 C663 C698 C701 C829 C832 C867 C870 C998 C1001 C1036 C1039 C1167 C1170 C1205 C1208 C1336 C1339 C1374 C1377,Vishay Vitramon,VJ0805A120GXJCW1BC,12 pF,2%,CAP CER 12PF 16V C0G/NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,285,09/18/2023,32,0.17
4,C54 C152 C311 C349 C480 C518 C649 C687 C818 C856 C987 C1025 C1156 C1194 C1325 C1363,Murata Electronics,GQM2195C2E140JB12D,14 pF,5%,CERAMIC CAP MLCC HIGH-Q 125C NPO/COG 5%,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,3801,09/18/2023,16,0.30
5,C61 C159 C318 C356 C487 C525 C656 C694 C825 C863 C994 C1032 C1163 C1201 C1332 C1370,KYOCERA AVX,KGQ21HCG2D150GT,15 pF,2%,CAP CER 15PF 200V NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,4426,09/18/2023,16,0.11
6,C66 C139 C323 C361 C492 C530 C661 C699 C830 C868 C999 C1037 C1168 C1206 C1337 C1375,Walsin Technology Corporation,0805N180F500CT,18 pF,2%,CAP CER 18PF 50V C0G/NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,6859,09/18/2023,16,0.12
7,C58 C59 C60 C156 C157 C158 C315 C316 C317 C353 C354 C355 C484 C485 C486 C522 C523 C524 C653 C654 C655 C691 C692 C693 C822 C823 C824 C860 C861 C862 C991 C992 C993 C1029 C1030 C1031 C1160 C1161 C1162 C1198 C1199 C1200 C1329 C1330 C1331 C1367 C1368 C1369,KYOCERA AVX,0805YA300FAT2A,30 pF,1%,16V 30pF C0G 0805 1%,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,682,11/23/2023,48,0.28
8,C53 C70 C143 C151 C310 C327 C348 C365 C479 C496 C517 C534 C648 C665 C686 C703 C817 C834 C855 C872 C986 C1003 C1024 C1041 C1155 C1172 C1193 C1210 C1324 C1341 C1362 C1379,YAGEO,CC0805GRNPO9BN330,33 pF,2%,CAP CER 33PF 50V C0G/NPO 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,8932,09/18/2023,32,0.14
9,C55 C153 C312 C350 C481 C519 C650 C688 C819 C857 C988 C1026 C1157 C1195 C1326 C1364,KEMET,C0805C430G5GACTU,43 pF,2%,CAP CER 43PF 50V NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,2192,11/23/2023,16,0.45
10,C56 C57 C154 C155 C313 C314 C351 C352 C482 C483 C520 C521 C651 C652 C689 C690 C820 C821 C858 C859 C989 C990 C1027 C1028 C1158 C1159 C1196 C1197 C1327 C1328 C1365 C1366,KEMET,C0805C430G5GAC7800,43 pF,2%,CAP CER 43PF 50V NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,2307,09/18/2023,32,0.43
11,C62 C135 C319 C357 C488 C526 C657 C695 C826 C864 C995 C1033 C1164 C1202 C1333 C1371,Walsin Technology Corporation,0805N470G160CT,47 pF,2%,CAP CER 47PF 16V C0G/NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,18653,09/18/2023,16,0.06
12,C67 C140 C324 C362 C493 C531 C662 C700 C831 C869 C1000 C1038 C1169 C1207 C1338 C1376,KYOCERA AVX,08055A580FAT2A,58 pF,2%,CAP CER 58PF 50V NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,644,09/18/2023,16,0.38
13,C64 C137 C321 C359 C490 C528 C659 C697 C828 C866 C997 C1035 C1166 C1204 C1335 C1373,Vishay Vitramon,VJ0805A680GXAPW1BC,68 pF,±2%,CAP CER 68PF 50V C0G/NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,7480,11/23/2023,16,0.16
14,C78 C167 C332 C370 C501 C539 C670 C708 C839 C877 C1008 C1046 C1177 C1215 C1346 C1384,Walsin Technology Corporation,0805N820G500CT,82 pF,2%,CAP CER 82PF 50V C0G/NP0 0805,C_0805_2012Metric_Pad1.27x1.45mm_HandSolder,12882,09/18/2023,16,0.07
